iter	Passed	Remaining
0	136	136861
1	138	68883
2	138	46174
3	139	34818
4	140	28005
5	141	23469
6	142	20237
7	143	17805
8	144	15912
9	145	14400
10	146	13162
11	147	12124
12	148	11254
13	148	10491
14	149	9831
15	150	9249
16	151	8742
17	152	8294
18	152	7887
19	153	7528
20	154	7202
21	155	6900
22	155	6625
23	156	6378
24	157	6148
25	158	5938
26	159	5745
27	160	5566
28	161	5401
29	162	5247
30	163	5097
31	163	4953
32	164	4821
33	165	4698
34	166	4591
35	167	4480
36	168	4376
37	168	4278
38	169	4183
39	170	4091
40	171	4004
41	172	3926
42	172	3848
43	173	3775
44	174	3703
45	175	3635
46	176	3570
47	176	3507
48	177	3452
49	179	3401
50	180	3349
51	180	3296
52	181	3245
53	182	3194
54	183	3146
55	183	3101
56	184	3059
57	185	3014
58	186	2970
59	187	2930
60	187	2890
61	188	2851
62	189	2813
63	189	2777
64	191	2747
65	191	2713
66	192	2679
67	193	2648
68	194	2618
69	194	2587
70	195	2556
71	196	2528
72	196	2501
73	197	2473
74	198	2447
75	199	2422
76	199	2396
77	200	2372
78	201	2346
79	201	2322
80	202	2301
81	203	2279
82	204	2253
83	204	2232
84	205	2210
85	206	2189
86	206	2169
87	207	2149
88	208	2129
89	208	2111
90	209	2094
91	210	2076
92	211	2058
93	211	2041
94	212	2023
95	213	2007
96	213	1990
97	214	1973
98	215	1959
99	216	1944
100	216	1931
101	217	1916
102	218	1902
103	219	1886
104	219	1872
105	220	1857
106	220	1843
107	221	1830
108	222	1818
109	223	1806
110	223	1793
111	224	1781
112	225	1768
113	226	1756
114	226	1745
115	227	1734
116	228	1722
117	228	1710
118	229	1699
119	230	1688
120	230	1677
121	231	1667
122	233	1663
123	234	1655
124	235	1646
125	235	1635
126	236	1625
127	237	1615
128	238	1610
129	239	1603
130	240	1595
131	241	1589
132	242	1579
133	243	1570
134	243	1561
135	244	1553
136	245	1544
137	246	1539
138	247	1531
139	248	1526
140	249	1518
141	249	1508
142	250	1500
143	251	1492
144	251	1485
145	252	1479
146	253	1472
147	254	1464
148	255	1456
149	255	1449
150	256	1442
151	257	1435
152	257	1428
153	258	1421
154	259	1415
155	260	1408
156	261	1401
157	261	1394
158	262	1387
159	263	1381
160	263	1374
161	264	1368
162	265	1362
163	266	1357
164	266	1350
165	267	1345
166	268	1339
167	269	1332
168	269	1326
169	270	1320
170	272	1318
171	272	1313
172	273	1308
173	274	1302
174	275	1296
175	275	1291
176	276	1285
177	277	1280
178	278	1276
179	279	1271
180	279	1266
181	280	1260
182	281	1255
183	281	1249
184	282	1244
185	283	1238
186	283	1233
187	284	1228
188	285	1223
189	285	1218
190	286	1213
191	287	1208
192	287	1203
193	288	1200
194	289	1196
195	290	1192
196	291	1188
197	292	1183
198	292	1178
199	293	1174
200	294	1170
201	295	1166
202	296	1162
203	297	1160
204	298	1156
205	298	1151
206	299	1147
207	300	1143
208	301	1139
209	301	1135
210	302	1132
211	303	1128
212	304	1124
213	305	1121
214	306	1117
215	306	1114
216	307	1110
217	308	1107
218	309	1103
219	310	1099
220	310	1096
221	311	1092
222	312	1088
223	313	1084
224	313	1080
225	314	1077
226	315	1073
227	316	1070
228	317	1068
229	318	1065
230	319	1062
231	319	1058
232	320	1054
233	321	1051
234	322	1048
235	322	1044
236	323	1041
237	324	1038
238	324	1034
239	325	1030
240	326	1027
241	327	1024
242	327	1021
243	328	1018
244	329	1015
245	330	1011
246	330	1009
247	331	1006
248	332	1003
249	333	1000
250	334	997
251	334	994
252	335	991
253	336	988
254	337	985
255	338	982
256	338	979
257	339	976
258	340	973
259	341	971
260	342	968
261	342	965
262	343	962
263	344	959
264	344	956
265	345	953
266	346	950
267	347	947
268	347	944
269	348	941
270	349	939
271	349	936
272	350	933
273	351	930
274	351	927
275	352	925
276	353	922
277	354	920
278	355	917
279	355	914
280	356	912
281	357	909
282	358	907
283	359	905
284	359	902
285	360	900
286	361	897
287	362	895
288	362	892
289	363	890
290	364	887
291	365	885
292	365	883
293	366	880
294	367	877
295	367	875
296	368	872
297	369	870
298	370	867
299	371	866
300	372	864
301	372	861
302	373	859
303	374	857
304	375	854
305	375	852
306	376	849
307	377	847
308	378	845
309	378	843
310	379	841
311	380	838
312	380	836
313	381	833
314	382	831
315	383	829
316	384	827
317	385	825
318	385	823
319	386	821
320	387	819
321	387	816
322	388	814
323	389	812
324	389	809
325	390	808
326	391	805
327	392	803
328	393	801
329	393	799
330	394	798
331	397	800
332	398	798
333	399	796
334	400	794
335	400	792
336	401	790
337	402	788
338	403	787
339	404	785
340	405	783
341	406	781
342	406	779
343	407	777
344	408	775
345	409	773
346	409	771
347	410	769
348	411	767
349	412	765
350	413	765
351	414	763
352	415	762
353	416	759
354	417	758
355	417	755
356	418	753
357	419	751
358	419	749
359	420	747
360	421	746
361	422	744
362	423	742
363	424	741
364	424	739
365	425	737
366	426	735
367	427	733
368	428	732
369	429	730
370	429	728
371	430	726
372	431	724
373	431	722
374	432	721
375	433	719
376	434	717
377	434	715
378	435	713
379	436	711
380	436	709
381	437	708
382	438	706
383	439	704
384	439	702
385	440	701
386	441	699
387	442	697
388	442	695
389	443	693
390	444	692
391	445	690
392	446	689
393	446	687
394	447	685
395	448	683
396	449	682
397	449	680
398	450	678
399	451	676
400	451	674
401	452	673
402	453	671
403	454	670
404	455	668
405	455	667
406	456	665
407	457	663
408	457	661
409	459	660
410	459	659
411	460	657
412	461	655
413	462	654
414	462	652
415	463	650
416	464	649
417	465	647
418	466	646
419	466	644
420	467	643
421	468	641
422	469	639
423	470	638
424	471	637
425	472	636
426	472	634
427	473	632
428	474	631
429	475	629
430	476	628
431	476	626
432	477	625
433	478	624
434	479	622
435	480	620
436	480	619
437	481	617
438	482	616
439	483	614
440	484	613
441	485	612
442	485	610
443	486	609
444	487	607
445	488	606
446	488	604
447	489	603
448	490	601
449	491	600
450	491	598
451	492	597
452	493	595
453	493	593
454	494	592
455	495	590
456	496	589
457	497	588
458	497	586
459	498	585
460	499	583
461	499	582
462	500	580
463	501	579
464	502	578
465	503	576
466	503	575
467	504	573
468	505	572
469	506	570
470	506	569
471	507	567
472	508	566
473	509	565
474	509	563
475	510	562
476	511	560
477	512	559
478	512	557
479	513	556
480	514	555
481	515	554
482	516	552
483	517	551
484	517	550
485	519	548
486	519	547
487	520	546
488	521	545
489	522	543
490	523	542
491	523	540
492	524	539
493	525	538
494	526	536
495	526	535
496	527	533
497	528	532
498	529	531
499	530	530
500	530	528
501	531	527
502	532	525
503	532	524
504	533	523
505	534	521
506	535	520
507	535	519
508	536	517
509	537	516
510	538	514
511	538	513
512	540	513
513	541	511
514	542	510
515	543	509
516	543	508
517	544	506
518	545	505
519	546	504
520	547	503
521	547	501
522	548	500
523	549	499
524	550	498
525	551	496
526	552	495
527	553	494
528	554	493
529	554	491
530	555	490
531	556	489
532	556	487
533	557	486
534	558	485
535	559	484
536	560	483
537	561	481
538	561	480
539	562	479
540	563	477
541	563	476
542	564	475
543	565	474
544	566	473
545	567	471
546	568	470
547	568	469
548	569	467
549	570	466
550	571	465
551	572	464
552	573	463
553	573	461
554	574	460
555	575	459
556	575	458
557	576	456
558	577	455
559	578	454
560	579	453
561	579	451
562	580	450
563	581	449
564	582	448
565	582	446
566	583	445
567	584	444
568	585	443
569	586	442
570	586	440
571	587	439
572	588	438
573	588	437
574	589	435
575	590	434
576	591	433
577	592	432
578	593	431
579	594	430
580	594	428
581	596	428
582	597	427
583	598	426
584	599	425
585	600	423
586	600	422
587	601	421
588	602	420
589	603	419
590	604	418
591	604	416
592	605	415
593	606	414
594	606	413
595	607	411
596	608	410
597	609	409
598	610	408
599	611	407
600	611	406
601	612	405
602	613	403
603	614	402
604	614	401
605	615	400
606	616	399
607	617	398
608	618	397
609	619	395
610	619	394
611	620	393
612	621	392
613	622	391
614	623	390
615	623	388
616	624	387
617	625	386
618	626	385
619	627	384
620	628	383
621	628	382
622	629	381
623	630	379
624	631	378
625	632	377
626	632	376
627	633	375
628	634	374
629	635	373
630	636	372
631	637	371
632	637	369
633	638	368
634	639	367
635	640	366
636	640	365
637	641	364
638	642	362
639	643	361
640	643	360
641	644	359
642	645	358
643	646	357
644	647	356
645	647	354
646	648	353
647	649	352
648	649	351
649	650	350
650	651	349
651	652	348
652	653	347
653	654	346
654	654	344
655	655	343
656	656	342
657	656	341
658	657	340
659	658	339
660	659	338
661	660	337
662	661	336
663	661	334
664	662	333
665	663	332
666	663	331
667	664	330
668	665	329
669	666	328
670	666	326
671	667	325
672	668	324
673	669	323
674	669	322
675	670	321
676	671	320
677	672	319
678	672	318
679	673	317
680	674	315
681	675	314
682	675	313
683	676	312
684	677	311
685	678	310
686	679	309
687	679	308
688	680	307
689	681	306
690	681	304
691	682	303
692	683	302
693	684	301
694	685	300
695	686	299
696	686	298
697	687	297
698	688	296
699	689	295
700	689	294
701	690	293
702	691	292
703	692	291
704	693	289
705	693	288
706	694	287
707	695	286
708	695	285
709	696	284
710	697	283
711	698	282
712	699	281
713	699	280
714	700	279
715	701	278
716	701	277
717	702	276
718	703	274
719	704	273
720	705	272
721	705	271
722	706	270
723	707	269
724	708	268
725	709	267
726	710	266
727	710	265
728	711	264
729	712	263
730	712	262
731	713	261
732	714	260
733	714	259
734	715	258
735	716	257
736	717	255
737	717	254
738	718	253
739	719	252
740	720	251
741	720	250
742	721	249
743	722	248
744	723	247
745	723	246
746	724	245
747	725	244
748	725	243
749	726	242
750	727	241
751	728	240
752	729	239
753	729	238
754	730	237
755	731	236
756	731	234
757	732	233
758	733	232
759	734	231
760	735	230
761	735	229
762	736	228
763	737	227
764	738	226
765	738	225
766	739	224
767	740	223
768	741	222
769	741	221
770	742	220
771	743	219
772	743	218
773	744	217
774	745	216
775	745	215
776	746	214
777	747	213
778	748	212
779	748	211
780	749	210
781	750	209
782	751	208
783	751	207
784	752	206
785	753	205
786	754	204
787	755	203
788	756	202
789	756	201
790	757	200
791	758	199
792	759	198
793	760	197
794	760	196
795	761	195
796	762	194
797	762	193
798	763	192
